Metagenome	Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	FastANI Reference	FastANI Reference Radius	FastANI Taxonomy	FastANI ANI	FastANI Alignment Fraction	Closest Placement Reference	Closest Placement Taxonomy	Closest Placement ANI	Closest Placement Alignment Fraction	Classification Method	Note	Other Related References	MSA AA Percent	RED Value	Warnings
C1	bin.001	f__Enterobacteriaceae	55	546	224	34	512	0	0	0	0	98.21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	Rahnella chamberiensis_A	GCF_009295505.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	GCF_009295505.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002951615.1, s__Rahnella sp0029516...	84.14	-	-
C1	bin.005	p__Firmicutes	100	295	158	50	236	9	0	0	0	81.83	4.59	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	Acetonemaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	79.53	0.7400533585	-
C1	bin.006	k__Bacteria	88	230	148	47	175	7	1	0	0	81.3	4.76	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	82.89	0.57	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	65.59	0.9568328465	-
C1	bin.007	k__Bacteria	5449	104	58	21	83	0	0	0	0	73.64	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	66.57	0.8834816089	-
C1	bin.008	g__Clostridium	44	404	145	2	390	10	2	0	0	98.62	5.48	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	93.21	0.8171843735	-
C1	bin.010	k__Bacteria	2258	187	116	11	173	3	0	0	0	94.85	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003170825.1, s__Terracidiphilus sp...	89.5	0.9249754435	-
C1	bin.012	o__Pseudomonadales	185	813	308	30	754	29	0	0	0	97.36	1.29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002814235	GCF_002814235.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	GCF_002814235.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013385425.1, s__Pseudomonas_E ging...	82.71	-	-
C1	bin.016	k__Bacteria	5449	104	58	50	54	0	0	0	0	78.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		-	-	-	-	-	GCF_005217455.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031 sp005217455	79.24	0.38	taxonomic classification defined by topology and ANI	-	GCF_004346745.1, s__BGMRC-2031 sp00434...	68.95	0.957664984	-
C1	bin.017	f__Bacillaceae	128	555	180	5	529	20	1	0	0	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	94.28	0.8428571747	-
C2	bin.001	k__Bacteria	5449	104	58	36	59	9	0	0	0	56.32	5.38	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	46.67	0.8397443697	-
C2	bin.009	k__Bacteria	5449	104	58	66	37	1	0	0	0	54.81	1.72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	53.96	0.8379875088	-
C2	bin.013	c__Alphaproteobacteria	564	349	230	156	182	11	0	0	0	56.77	3.91	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales_A	UBA9219	JABDFY01		-	-	-	-	-	GCA_903875345.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__JABDFY01 sp903875345	76.77	0.21	taxonomic classification defined by topology and ANI	-	-	49.49	0.8883167969	-
C2	bin.022	k__Bacteria	2258	185	115	29	152	4	0	0	0	91.84	2.61	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166865.1, s__Palsa-89 sp0031668...	83.03	0.9194501698	-
C2	bin.030	p__Firmicutes	100	295	158	25	259	10	1	0	0	93.54	6.35	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	UPPP01			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	82.11	0.759987335	-
C2	bin.033	k__Bacteria	924	151	101	43	107	1	0	0	0	62.18	0.99	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	66.21	0.8829949251	-
C2	bin.034	o__Pseudomonadales	185	813	308	115	678	20	0	0	0	81.25	2.95	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E		-	-	-	-	-	-	-	-	-	taxonomic classification defined by topology and ANI	-	GCF_000497835.1, s__Pseudomonas_E sp00...	87.29	0.9890037538	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
C2	bin.036	k__Bacteria	2258	187	116	76	107	4	0	0	0	61.08	1.44	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	55.61	0.8265779611	-
C2	bin.044	k__Bacteria	5449	104	58	53	47	3	0	1	0	70.69	9.48	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166955.1, s__Palsa-343 sp003166...	55.91	0.9380925426	-
C2	bin.045	k__Bacteria	2258	187	116	90	94	3	0	0	0	57.16	2.59	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	39.59	0.9337643749	-
C2	bin.046	k__Bacteria	88	230	148	20	204	6	0	0	0	89.86	2.03	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	83.38	0.52	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	83.88	0.958036485	-
C2	bin.050	k__Bacteria	2993	147	91	48	99	0	0	0	0	90.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		-	-	-	-	-	GCF_004346745.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031 sp004346745	81.03	0.57	taxonomic classification defined by topology and ANI	-	GCF_010131535.1, s__BGMRC-2031 sp01013...	76.69	0.9638493306	-
C2	bin.051	f__Bacillaceae	128	555	180	5	529	20	1	0	0	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	94.28	0.8428571747	-
C2	bin.052	k__Bacteria	2258	187	116	4	180	3	0	0	0	98.44	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003170825.1, s__Terracidiphilus sp...	92.38	0.9248549113	-
C2	bin.053	k__Bacteria	924	151	101	41	108	2	0	0	0	63.66	1.1	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	67.78	0.8770926576	-
C2	bin.055	k__Bacteria	901	171	117	58	113	0	0	0	0	57.66	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	65.14	0.876979317	-
C2	bin.056	k__Bacteria	901	171	117	50	119	2	0	0	0	61.51	0.57	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	68.69	0.8839351213	-
C2	bin.060	k__Bacteria	5449	101	57	43	57	1	0	0	0	81.18	1.75	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	61.76	0.8769841093	-
C2	bin.061	k__Bacteria	5449	104	58	13	91	0	0	0	0	80.46	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA6065			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	63.27	0.8278299985	-
C2	bin.064	k__Bacteria	2993	143	89	61	81	1	0	0	0	66.86	1.12	Bacteria	Elusimicrobiota	Elusimicrobia	UBA1565	UBA9628	GWA2-66-18		-	-	-	-	-	GCA_013044195.1	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__GWA2-66-18 sp013044195	80.89	0.56	taxonomic classification defined by topology and ANI	-	GCA_903874575.1, s__GWA2-66-18 sp90387...	56.9	0.9631194135	-
C2	bin.067	k__Bacteria	88	230	148	45	183	2	0	0	0	89.24	0.47	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	81.72	0.54	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	70.52	0.9508139442	-
C2	bin.069	k__Bacteria	924	161	108	31	129	1	0	0	0	73.61	0.93	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	UBA5150		-	-	-	-	-	GCA_003133385.1	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA5150;s__UBA5150 sp003133385	78.08	0.31	taxonomic classification defined by topology and ANI	-	-	74.67	0.9625811398	-
C2	bin.071	k__Bacteria	5449	104	58	47	57	0	0	0	0	81.54	0	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	PALSA-1444		-	-	-	-	-	GCA_013286675.1	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__PALSA-1444;s__PALSA-1444 sp013286675	85.41	0.67	taxonomic classification defined by topology and ANI	-	GCA_003153295.1, s__PALSA-1444 sp00315...	61.96	0.9818948847	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
C2	bin.073	k__Bacteria	2993	143	89	25	118	0	0	0	0	74.53	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	67.64	0.8429384672	-
C2	bin.074	k__Bacteria	2258	187	116	90	92	5	0	0	0	65.28	2.93	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003170825.1, s__Terracidiphilus sp...	47.05	0.9212831539	-
C2	bin.075	o__Rhizobiales	107	485	316	34	436	15	0	0	0	92.63	3.82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		-	-	-	-	-	GCA_003164375.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__BOG-931 sp003164375	77.5	0.25	taxonomic classification defined by topology and ANI	-	-	85.31	0.9490748625	-
C2	bin.077	k__Bacteria	2258	187	116	33	152	2	0	0	0	85.39	0.91	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Silvibacterium		-	-	-	-	-	GCF_001006305.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__Silvibacterium bohemicum	79.21	0.39	taxonomic classification defined by topology and ANI	-	GCF_004123295.1, s__Silvibacterium din...	75.16	0.961717367	-
C2	bin.086	k__Archaea	207	149	107	26	121	2	0	0	0	78.97	1.87	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	68.15	0.8406976504	-
C2	bin.088	k__Bacteria	901	171	117	50	121	0	0	0	0	62.79	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	69.57	0.9212676146	-
C2	bin.091	c__Gammaproteobacteria	67	481	276	110	334	35	2	0	0	86.64	9.25	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003134045.1, s__Bog-1198 sp0031340...	63.47	0.9597979232	-
C2	bin.094	k__Bacteria	2921	152	93	81	70	1	0	0	0	56.93	0.36	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SXRF01	JABCZZ01		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	45.3	0.9109305634	-
C2	bin.095	k__Bacteria	5449	104	58	53	51	0	0	0	0	76.21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella		-	-	-	-	-	GCF_003977615.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__Dyella sp003977615	87.81	0.75	taxonomic classification defined by topology and ANI	-	GCA_903970555.1, s__Dyella sp903970555...	65.32	0.996909872	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
C2	bin.096	o__Rhizobiales	107	485	316	183	286	14	2	0	0	64.53	2.82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		-	-	-	-	-	GCA_003164375.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__BOG-931 sp003164375	80.07	0.54	taxonomic classification defined by topology and ANI	-	-	44.87	0.9617177955	-
C2	bin.100	k__Bacteria	5449	104	58	64	39	1	0	0	0	61.21	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	PKWO01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	47.19	0.9588927891	-
C2	bin.101	k__Bacteria	2258	181	111	18	160	3	0	0	0	97.4	2.03	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	85.17	0.8772417711	-
C2	bin.103	k__Bacteria	924	151	101	64	87	0	0	0	0	55.58	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	57.47	0.8829886464	-
C2	bin.104	k__Bacteria	2258	187	116	36	145	5	1	0	0	85.65	4.89	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	GCA_003140785.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003140785	78.01	0.31	taxonomic classification defined by topology and ANI	-	GCA_002314435.1, s__Terracidiphilus sp...	76.41	0.9539151783	-
C2	bin.106	k__Bacteria	5449	104	58	36	61	7	0	0	0	68.97	3.37	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	55.49	0.8747078848	-
C2	bin.108	o__Rhodospirillales	63	336	201	50	284	2	0	0	0	95.08	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	79.59	0.8359290156	-
C2	bin.109	k__Bacteria	2993	147	91	40	99	8	0	0	0	85.88	6.23	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Fen-1231		-	-	-	-	-	GCA_903910555.1	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__Fen-1231 sp903910555	80.98	0.62	taxonomic classification defined by topology and ANI	-	GCA_003171215.1, s__Fen-1231 sp0031712...	69.49	0.9773745961	-
C2	bin.112	f__Enterobacteriaceae	223	876	305	318	558	0	0	0	0	60.25	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	Rahnella chamberiensis_A	GCF_009295505.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.23	0.95	GCF_009295505.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.23	0.95	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002951615.1, s__Rahnella sp0029516...	58.82	-	-
C2	bin.116	o__Sphingomonadales	26	569	293	250	306	13	0	0	0	58.25	2.5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		-	-	-	-	-	GCF_001598555.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium rosa	89.29	0.69	taxonomic classification defined by topology and ANI	-	GCF_003208375.1, s__Novosphingobium sp...	39.01	0.9979375389	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
C2	bin.122	k__Bacteria	924	151	101	42	100	6	3	0	0	62.87	1.71	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	61.72	0.8771753325	-
C2	bin.123	k__Bacteria	88	227	146	3	224	0	0	0	0	97.95	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	CAITEC01		-	-	-	-	-	GCA_903891325.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__CAITEC01;s__CAITEC01 sp903891325	77.09	0.2	taxonomic classification defined by topology and ANI	-	-	89	0.9470221511	-
C2	bin.124	k__Bacteria	2258	188	117	52	134	2	0	0	0	91.87	1.71	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166955.1, s__Palsa-343 sp003166...	69.31	0.9399407034	-
